"city","first_name","last_name","email","revenue"
"Onomichi","Howard","Fortner","howard.fortner@sakilacustomer.org","93.74"
"Oshawa","Eugene","Culpepper","eugene.culpepper@sakilacustomer.org","70.82"
"Osmaniye","Carlos","Coughlin","carlos.coughlin@sakilacustomer.org","96.79"
"Otsu","Bobby","Boudreau","bobby.boudreau@sakilacustomer.org","99.68"
"Oulu","Victor","Barkley","victor.barkley@sakilacustomer.org","85.78"
"Ourense (Orense)","Martin","Bales","martin.bales@sakilacustomer.org","93.75"
"Owo","Ernest","Stepp","ernest.stepp@sakilacustomer.org","77.79"
"Oyo","Phillip","Holm","phillip.holm@sakilacustomer.org","93.76"
"Paarl","Jesse","Schilling","jesse.schilling@sakilacustomer.org","79.78"
"Pangkal Pinang","Clarence","Gamez","clarence.gamez@sakilacustomer.org","79.75"
"Papeete","Sean","Douglass","sean.douglass@sakilacustomer.org","91.77"
"Pathankot","Chris","Brothers","chris.brothers@sakilacustomer.org","77.80"
"Patiala","Johnny","Turpin","johnny.turpin@sakilacustomer.org","57.81"
"Pemalang","Antonio","Meek","antonio.meek@sakilacustomer.org","73.85"
"Peoria","Danny","Isom","danny.isom@sakilacustomer.org","73.82"
"Phnom Penh","Tony","Carranza","tony.carranza@sakilacustomer.org","61.82"
"Pingxiang","Luis","Yanez","luis.yanez@sakilacustomer.org","77.81"
"Po","Leonard","Schofield","leonard.schofield@sakilacustomer.org","101.70"
"Portoviejo","Rodney","Moeller","rodney.moeller@sakilacustomer.org","97.78"
"Pudukkottai","Norman","Currier","norman.currier@sakilacustomer.org","73.76"
"Pune","Allen","Butterfield","allen.butterfield@sakilacustomer.org","74.83"
"Purnea (Purnia)","Marvin","Yee","marvin.yee@sakilacustomer.org","65.81"
"Purwakarta","Vincent","Ralston","vincent.ralston@sakilacustomer.org","96.77"
"Pyongyang","Glenn","Pullen","glenn.pullen@sakilacustomer.org","88.78"
"Qinhuangdao","Travis","Estep","travis.estep@sakilacustomer.org","91.78"
"Quilmes","Chad","Carbone","chad.carbone@sakilacustomer.org","86.76"
"Rae Bareli","Jacob","Lance","jacob.lance@sakilacustomer.org","74.80"
"Rampur","Melvin","Ellington","melvin.ellington@sakilacustomer.org","96.75"
"Richmond Hill","Francis","Sikes","francis.sikes@sakilacustomer.org","98.75"
"Roanoke","Herbert","Kruger","herbert.kruger@sakilacustomer.org","73.81"
"Robamba","Frederick","Isbell","frederick.isbell@sakilacustomer.org","78.84"
"Rockford","Ray","Houle","ray.houle@sakilacustomer.org","71.80"
"Ruse","Joel","Francisco","joel.francisco@sakilacustomer.org","92.78"
"Rustenburg","Edwin","Burk","edwin.burk@sakilacustomer.org","93.80"
"Sagamihara","Ricky","Shelby","ricky.shelby@sakilacustomer.org","78.77"
"Saint-Denis","Randall","Neumann","randall.neumann@sakilacustomer.org","85.80"
"Salamanca","Bernard","Colby","bernard.colby@sakilacustomer.org","83.79"
"Sambhal","Francisco","Skidmore","francisco.skidmore@sakilacustomer.org","93.79"
"San Felipe de Puerto Plata","Micheal","Forman","micheal.forman@sakilacustomer.org","96.76"
"San Miguel de Tucumn","Oscar","Aquino","oscar.aquino@sakilacustomer.org","80.83"
"Sanaa","Jay","Robb","jay.robb@sakilacustomer.org","85.75"
"Santa F","Tom","Milner","tom.milner@sakilacustomer.org","99.71"
"Santiago de los Caballeros","Jon","Wiles","jon.wiles@sakilacustomer.org","85.78"
"Santo Andr","Ronnie","Ricketts","ronnie.ricketts@sakilacustomer.org","95.76"
"Sasebo","Lloyd","Dowd","lloyd.dowd@sakilacustomer.org","66.81"
"Sawhaj","Leon","Bostic","leon.bostic@sakilacustomer.org","97.79"
"Serpuhov","Derek","Blakely","derek.blakely@sakilacustomer.org","90.73"
"Shanwei","Darrell","Power","darrell.power@sakilacustomer.org","89.76"
"Shaoguan","Jerome","Kenyon","jerome.kenyon@sakilacustomer.org","67.86"
"Sharja","Floyd","Gandy","floyd.gandy@sakilacustomer.org","68.84"
"Shenzhen","Leo","Ebert","leo.ebert@sakilacustomer.org","101.78"
"Simferopol","Dustin","Gillette","dustin.gillette@sakilacustomer.org","92.75"
"Sincelejo","Pedro","Chestnut","pedro.chestnut@sakilacustomer.org","97.78"
"Sirjan","Derrick","Bourque","derrick.bourque@sakilacustomer.org","87.80"
"Skikda","Lewis","Lyman","lewis.lyman@sakilacustomer.org","86.81"
"So Bernardo do Campo","Corey","Hauser","corey.hauser@sakilacustomer.org","83.81"
"Sokoto","Vernon","Chapa","vernon.chapa@sakilacustomer.org","81.83"
"Soshanguve","Glen","Talbert","glen.talbert@sakilacustomer.org","100.77"
"South Hill","Shane","Millard","shane.millard@sakilacustomer.org","95.78"
"Southampton","Ricardo","Meador","ricardo.meador@sakilacustomer.org","91.81"
"Springs","Lester","Kraus","lester.kraus@sakilacustomer.org","62.85"
"Sucre","Tyler","Wren","tyler.wren@sakilacustomer.org","82.81"
"Sullana","Gene","Sanborn","gene.sanborn@sakilacustomer.org","82.76"
"Sumqayit","Reginald","Kinder","reginald.kinder@sakilacustomer.org","96.75"
"Sumy","Ruben","Geary","ruben.geary@sakilacustomer.org","86.81"
"Sunnyvale","Angel","Barclay","angel.barclay@sakilacustomer.org","99.72"
"Syktyvkar","Rafael","Abney","rafael.abney@sakilacustomer.org","91.81"
"Szkesfehrvr","Edgar","Rhoads","edgar.rhoads@sakilacustomer.org","89.77"
"Tabriz","Raul","Fortier","raul.fortier@sakilacustomer.org","86.82"
"Tafuna","Chester","Benner","chester.benner@sakilacustomer.org","92.78"
"Tallahassee","Franklin","Troutman","franklin.troutman@sakilacustomer.org","69.79"
"Tambaram","Elmer","Noe","elmer.noe@sakilacustomer.org","92.76"
"Tanauan","Brad","Mccurdy","brad.mccurdy@sakilacustomer.org","100.76"
"Tangail","Ron","Deluca","ron.deluca@sakilacustomer.org","99.78"
"Tanza","Roland","South","roland.south@sakilacustomer.org","80.77"
"Tarsus","Harvey","Guajardo","harvey.guajardo@sakilacustomer.org","87.80"
"Tartu","Jared","Ely","jared.ely@sakilacustomer.org","81.83"
"Teboksary","Adrian","Clary","adrian.clary@sakilacustomer.org","68.82"
"Tel Aviv-Jaffa","Cory","Meehan","cory.meehan@sakilacustomer.org","81.76"
"Tete","Claude","Herzog","claude.herzog@sakilacustomer.org","93.80"
"Tiefa","Darryl","Ashcraft","darryl.ashcraft@sakilacustomer.org","75.78"
"Tongliao","Christian","Jung","christian.jung@sakilacustomer.org","81.78"
"Toulon","Clinton","Buford","clinton.buford@sakilacustomer.org","98.76"
"Trshavn","Mathew","Bolin","mathew.bolin@sakilacustomer.org","84.80"
"Tsuyama","Darren","Windham","darren.windham@sakilacustomer.org","95.78"
"Tuguegarao","Lonnie","Tirado","lonnie.tirado@sakilacustomer.org","84.84"
"Tychy","Lance","Pemberton","lance.pemberton@sakilacustomer.org","73.80"
"Udaipur","Cody","Nolen","cody.nolen@sakilacustomer.org","92.80"
"Udine","Julio","Noland","julio.noland@sakilacustomer.org","84.81"
"Ueda","Kelly","Knott","kelly.knott@sakilacustomer.org","90.77"
"Uijongbu","Kurt","Emmons","kurt.emmons@sakilacustomer.org","87.80"
"Uluberia","Allan","Cornish","allan.cornish@sakilacustomer.org","63.84"
"Urawa","Nelson","Christenson","nelson.christenson@sakilacustomer.org","62.84"
"Usak","Clayton","Barbee","clayton.barbee@sakilacustomer.org","75.79"
"Usolje-Sibirskoje","Hugh","Waldrop","hugh.waldrop@sakilacustomer.org","89.80"
"Vaduz","Dwayne","Olvera","dwayne.olvera@sakilacustomer.org","95.80"
"Valencia","Dwight","Lombardi","dwight.lombardi@sakilacustomer.org","74.83"
"Valle de la Pascua","Armando","Gruber","armando.gruber@sakilacustomer.org","72.82"
"Valle de Santiago","Felix","Gaffney","felix.gaffney@sakilacustomer.org","63.78"
"Vicente Lpez","Ian","Still","ian.still@sakilacustomer.org","86.75"
"Vijayawada","Wallace","Slone","wallace.slone@sakilacustomer.org","97.78"
"Vila Velha","Ken","Prewitt","ken.prewitt@sakilacustomer.org","99.73"
"Vilnius","Bob","Pfeiffer","bob.pfeiffer@sakilacustomer.org","82.78"
"Warren","Alfredo","Mcadams","alfredo.mcadams@sakilacustomer.org","85.80"
"Weifang","Alberto","Henning","alberto.henning@sakilacustomer.org","66.79"
"Woodridge","Ivan","Cromwell","ivan.cromwell@sakilacustomer.org","91.75"
"Xiangfan","Sidney","Burleson","sidney.burleson@sakilacustomer.org","100.76"
"Yantai","Willard","Lumpkin","willard.lumpkin@sakilacustomer.org","95.79"
"Yerevan","Ross","Grey","ross.grey@sakilacustomer.org","98.74"
"Yinchuan","Virgil","Wofford","virgil.wofford@sakilacustomer.org","97.75"
"Zalantun","Kirk","Stclair","kirk.stclair@sakilacustomer.org","50.83"
"Zhoushan","Rene","Mcalister","rene.mcalister@sakilacustomer.org","101.76"
